2025-09-01;14:41:35.473;[65] PING;14:41:36.157;[188/65] PONG (2)

2025-09-01;; ;14:41:36.546;keepalive [191]

2025-09-01;14:41:36.451;[66] PING;14:41:37.432;[192/66] PONG (2)

2025-09-01;14:41:38.789;[67] PING;14:41:39.086;[194/67] PONG (2)

2025-09-01;14:41:40.360;[68] PING;14:41:40.580;[195/68] PONG (2)

2025-09-01;; ;14:41:41.559;keepalive [198]

2025-09-01;14:41:41.559;[69] PING;14:41:42.122;[199/69] PONG (2)

2025-09-01;14:41:43.240;[70] PING;14:41:43.426;[201/70] PONG (2)

2025-09-01;14:41:45.525;[71] PING;14:41:46.212;[204/71] PONG (2)

2025-09-01;; ;14:41:46.570;keepalive [206]

2025-09-01;14:41:48.911;[73] PING;14:41:49.316;[208/73] PONG (2)

2025-09-01;; ;14:41:51.576;keepalive [211]

2025-09-01;14:41:51.310;[74] PING;14:41:51.746;[212/74] PONG (2)

2025-09-01;14:41:47.599;[72] PING;14:41:52.666;(таймаут)

2025-09-01;14:41:52.058;[75] PING;14:41:52.666;[214/75] PONG (2)

2025-09-01;14:41:52.666;[76] PING;14:41:53.350;[215/76] PONG (2)

2025-09-01;14:41:53.660;[77] PING;14:41:54.412;[217/77] PONG (2)

2025-09-01;14:41:54.664;[79] PING;14:41:55.412;[220/79] PONG (2)

2025-09-01;; ;14:41:56.596;keepalive [223]

2025-09-01;14:41:56.223;[80] PING;14:41:56.785;[224/80] PONG (2)

2025-09-01;14:41:58.219;[81] PING;14:41:58.407;[226/81] PONG (2)

2025-09-01;14:41:54.097;[78] PING;14:41:59.159;(таймаут)

2025-09-01;14:42:00.346;[82] PING;14:42:01.143;[229/82] PONG (2)

2025-09-01;14:42:01.002;[83] PING;14:42:01.519;[230/83] PONG (2)

2025-09-01;; ;14:42:01.613;keepalive [232]

2025-09-01;14:42:03.773;[84] PING;14:42:04.582;[234/84] PONG (2)

2025-09-01;14:42:05.145;[85] PING;14:42:05.814;[235/85] PONG (2)

2025-09-01;; ;14:42:06.627;keepalive [237]

2025-09-01;14:42:07.559;[86] PING;14:42:08.615;[239/86] PONG (2)

2025-09-01;14:42:10.156;[87] PING;14:42:10.638;[243/87] PONG (2)

2025-09-01;; ;14:42:11.635;keepalive [245]

2025-09-01;14:42:11.789;[88] PING;14:42:12.379;[247/88] PONG (2)

2025-09-01;14:42:12.879;[89] PING;14:42:13.752;[249/89] PONG (2)

2025-09-01;14:42:15.432;[90] PING;14:42:15.993;[251/90] PONG (2)

2025-09-01;; ;14:42:16.648;keepalive [254]

2025-09-01;14:42:16.288;[91] PING;14:42:17.208;[255/91] PONG (2)

2025-09-01;14:42:18.361;[92] PING;14:42:18.770;[256/92] PONG (2)

2025-09-01;14:42:19.207;[93] PING;14:42:19.872;[258/93] PONG (2)

2025-09-01;; ;14:42:21.648;keepalive [262]

2025-09-01;14:42:20.931;[94] PING;14:42:21.679;[260/94] PONG (2)

2025-09-01;14:42:21.522;[95] PING;14:42:22.489;[263/95] PONG (2)

2025-09-01;14:42:24.476;[96] PING;14:42:25.207;[265/96] PONG (2)

2025-09-01;; ;14:42:26.660;keepalive [269]

2025-09-01;14:42:27.269;[97] PING;14:42:28.079;[270/97] PONG (2)

2025-09-01;14:42:28.454;[98] PING;14:42:28.829;[272/98] PONG (2)

2025-09-01;14:42:28.829;[99] PING;14:42:29.826;[273/99] PONG (2)

2025-09-01;14:42:29.998;[100] PING;14:42:30.917;[275/100] PONG (2)

2025-09-01;; ;14:42:31.670;keepalive [277]

2025-09-01;14:42:33.178;[102] PING;14:42:33.736;[279/102] PONG (2)

2025-09-01;14:42:34.081;[103] PING;14:42:34.414;[280/103] PONG (2)

2025-09-01;; ;14:42:36.694;keepalive [284]

2025-09-01;14:42:31.965;[101] PING;14:42:37.003;(таймаут)

2025-09-01;14:42:36.133;[104] PING;14:42:37.191;[285/104] PONG (2)

2025-09-01;14:42:37.598;[105] PING;14:42:38.313;[287/105] PONG (2)

2025-09-01;14:42:39.807;[106] PING;14:42:40.555;[290/106] PONG (2)

2025-09-01;; ;14:42:41.706;keepalive [293]

2025-09-01;14:42:41.286;[107] PING;14:42:42.081;[294/107] PONG (2)

2025-09-01;14:42:42.189;[108] PING;14:42:42.375;[295/108] PONG (2)

2025-09-01;14:42:44.168;[109] PING;14:42:45.163;[297/109] PONG (2)

2025-09-01;14:42:45.319;[110] PING;14:42:45.970;[299/110] PONG (2)

2025-09-01;; ;14:42:46.713;keepalive [302]

2025-09-01;14:42:47.333;[111] PING;14:42:48.239;[304/111] PONG (2)

2025-09-01;14:42:49.970;[113] PING;14:42:50.841;[306/113] PONG (2)

2025-09-01;; ;14:42:51.729;keepalive [308]

2025-09-01;14:42:51.651;[114] PING;14:42:51.837;[309/114] PONG (2)

2025-09-01;14:42:48.004;[112] PING;14:42:53.020;(таймаут)

2025-09-01;14:42:52.927;[115] PING;14:42:53.441;[312/115] PONG (2)

2025-09-01;; ;14:42:56.733;keepalive [316]

2025-09-01;14:42:58.230;[118] PING;14:42:58.462;[319/118] PONG (2)

2025-09-01;14:42:57.698;[117] PING;14:42:58.650;[320/117] PONG (2)

2025-09-01;14:42:59.432;[119] PING;14:43:00.025;[322/119] PONG (2)

2025-09-01;14:42:55.408;[116] PING;14:43:00.464;(таймаут)

2025-09-01;14:43:00.212;[120] PING;14:43:00.775;[323/120] PONG (2)

2025-09-01;; ;14:43:01.758;keepalive [326]

2025-09-01;14:43:03.004;[121] PING;14:43:03.989;[328/121] PONG (2)

2025-09-01;14:43:04.223;[123] PING;14:43:04.783;[330/123] PONG (2)

2025-09-01;14:43:05.713;[124] PING;14:43:05.947;[331/124] PONG (2)

2025-09-01;; ;14:43:06.768;keepalive [334]

2025-09-01;14:43:03.566;[122] PING;14:43:08.604;(таймаут)

2025-09-01;14:43:08.044;[125] PING;14:43:08.604;[335/125] PONG (2)

2025-09-01;14:43:09.980;[126] PING;14:43:10.975;[338/126] PONG (2)

2025-09-01;14:43:10.664;[127] PING;14:43:11.459;[339/127] PONG (2)

2025-09-01;; ;14:43:11.772;keepalive [341]

2025-09-01;14:43:11.991;[128] PING;14:43:12.958;[342/128] PONG (2)

2025-09-01;14:43:12.614;[129] PING;14:43:13.331;[343/129] PONG (2)

2025-09-01;14:43:14.765;[130] PING;14:43:14.952;[345/130] PONG (2)

2025-09-01;; ;14:43:16.785;keepalive [350]

2025-09-01;14:43:16.426;[131] PING;14:43:16.910;[351/131] PONG (2)

2025-09-01;14:43:18.826;[132] PING;14:43:19.697;[354/132] PONG (2)

2025-09-01;14:43:20.601;[133] PING;14:43:21.317;[356/133] PONG (2)

2025-09-01;; ;14:43:21.801;keepalive [358]

